Freq /Hz, Zr , Zi ; Name: 50_-5000
5.000000E+6;1.620040E+1;1.778110E+1
4.627078E+6;1.603460E+1;1.396180E+1
4.281971E+6;1.605330E+1;1.052660E+1
3.962602E+6;1.612830E+1;7.188040E+0
3.667054E+6;1.627560E+1;3.925630E+0
3.393549E+6;1.645200E+1;7.124390E-1
3.140444E+6;1.669970E+1;-2.452680E+0
2.906216E+6;1.698730E+1;-5.597830E+0
2.689457E+6;1.732910E+1;-8.752690E+0
2.488866E+6;1.771610E+1;-1.186300E+1
2.303236E+6;1.818150E+1;-1.503010E+1
2.131450E+6;1.867520E+1;-1.821360E+1
1.972477E+6;1.923480E+1;-2.145040E+1
1.825361E+6;1.985240E+1;-2.476170E+1
1.689218E+6;2.052070E+1;-2.814010E+1
1.563229E+6;2.125540E+1;-3.159870E+1
1.446636E+6;2.205320E+1;-3.518730E+1
1.338740E+6;2.291530E+1;-3.888530E+1
1.238891E+6;2.383850E+1;-4.272750E+1
1.146489E+6;2.483450E+1;-4.671710E+1
1.060979E+6;2.591850E+1;-5.088110E+1
9.818463E+5;2.707200E+1;-5.523670E+1
9.086159E+5;2.831370E+1;-5.979640E+1
8.408474E+5;2.964550E+1;-6.458680E+1
7.781333E+5;3.108080E+1;-6.963030E+1
7.200968E+5;3.261540E+1;-7.494040E+1
6.663888E+5;3.425910E+1;-8.053940E+1
6.166866E+5;3.603500E+1;-8.646440E+1
5.706914E+5;3.792830E+1;-9.272630E+1
5.281268E+5;3.996680E+1;-9.937160E+1
4.887368E+5;4.218860E+1;-1.064080E+2
4.522847E+5;4.455940E+1;-1.138690E+2
4.185513E+5;4.714780E+1;-1.218090E+2
3.873339E+5;4.995370E+1;-1.302370E+2
3.584449E+5;5.300820E+1;-1.392550E+2
3.317105E+5;5.630950E+1;-1.487560E+2
3.069701E+5;5.989790E+1;-1.588510E+2
2.840749E+5;6.380850E+1;-1.695740E+2
2.628874E+5;6.809300E+1;-1.809750E+2
2.432801E+5;7.277260E+1;-1.930490E+2
2.251352E+5;7.789230E+1;-2.058670E+2
2.083436E+5;8.350980E+1;-2.194680E+2
1.928044E+5;8.966990E+1;-2.338720E+2
1.784242E+5;9.644620E+1;-2.491010E+2
1.651166E+5;1.038600E+2;-2.652310E+2
1.528015E+5;1.120210E+2;-2.822420E+2
1.414049E+5;1.209590E+2;-3.001780E+2
1.308583E+5;1.308230E+2;-3.191100E+2
1.210983E+5;1.416900E+2;-3.390020E+2
1.120663E+5;1.535690E+2;-3.598640E+2
1.037079E+5;1.666630E+2;-3.817520E+2
9.597288E+4;1.810620E+2;-4.046520E+2
8.881481E+4;1.967710E+2;-4.285010E+2
8.219061E+4;2.140190E+2;-4.533040E+2
7.606048E+4;2.329450E+2;-4.790450E+2
7.038756E+4;2.535850E+2;-5.056610E+2
6.513774E+4;2.761130E+2;-5.331130E+2
6.027949E+4;3.007220E+2;-5.613260E+2
5.578358E+4;3.274210E+2;-5.900790E+2
5.162300E+4;3.564360E+2;-6.194650E+2
4.777273E+4;3.878370E+2;-6.491750E+2
4.420963E+4;4.217220E+2;-6.790020E+2
4.091228E+4;4.582220E+2;-7.088790E+2
3.786087E+4;4.974100E+2;-7.385780E+2
3.503704E+4;5.392920E+2;-7.678280E+2
3.242382E+4;5.841670E+2;-7.964240E+2
3.000551E+4;6.315900E+2;-8.240760E+2
